Campaign name,Campaign ID,Ad set name,Ad set ID,Ad name,Ad ID,Day,Reach,Impressions,Frequency,Amount spent (EUR),Clicks (all),Link clicks,CTR (all)(%),CTR (link click-through rate)(%),CPC (all) (EUR),Cost per link click (EUR),CPM (cost per 1,000 impressions reached) (EUR),Results,Cost per result (EUR),Result indicator,Purchase ROAS (return on ad spend)
Zomercollectie 2024,23858001111111,Vrouwen 25-34 NL,23858002222221,Zomerjurk Banner,23858003333331,2024-05-01,12450,18900,1.52,245.50,387,312,2.05,1.65,0.63,0.79,12.99,28,8.77,Purchases,4.12
Zomercollectie 2024,23858001111111,Vrouwen 25-34 NL,23858002222221,Zomerjurk Banner,23858003333331,2024-05-02,13200,20100,1.52,261.00,401,329,1.99,1.64,0.65,0.79,12.99,31,8.42,Purchases,4.35
Zomercollectie 2024,23858001111111,Vrouwen 25-34 NL,23858002222221,Accessoires Carousel,23858003333332,2024-05-01,8900,12300,1.38,154.20,198,163,1.61,1.33,0.78,0.95,12.54,14,11.01,Purchases,3.22
Zomercollectie 2024,23858001111111,Vrouwen 25-34 NL,23858002222221,Accessoires Carousel,23858003333332,2024-05-02,9100,12800,1.41,161.40,207,171,1.62,1.34,0.78,0.94,12.61,15,10.76,Purchases,3.41
Zomercollectie 2024,23858001111111,Mannen 28-45 NL,23858002222222,Sport Video Ad,23858003333341,2024-05-01,6700,9800,1.46,189.30,312,245,3.18,2.50,0.61,0.77,19.31,18,10.52,Purchases,2.87
Zomercollectie 2024,23858001111111,Mannen 28-45 NL,23858002222222,Sport Video Ad,23858003333341,2024-05-02,7100,10400,1.46,198.10,324,258,3.12,2.48,0.61,0.77,19.05,19,10.43,Purchases,2.94
Zomercollectie 2024,23858001111111,Mannen 28-45 NL,23858002222222,Sport Statisch,23858003333342,2024-05-01,4200,5900,1.40,98.70,122,89,2.07,1.51,0.81,1.11,16.73,7,14.10,Purchases,1.98
Zomercollectie 2024,23858001111111,Mannen 28-45 NL,23858002222222,Sport Statisch,23858003333342,2024-05-02,4400,6200,1.41,103.50,128,94,2.06,1.52,0.81,1.10,16.69,8,12.94,Purchases,2.14
Retargeting Website,23858001111112,Bezoekers 7 dagen,23858002222231,Dynamische Productad,23858003333351,2024-05-01,3100,4900,1.58,87.60,198,176,4.04,3.59,0.44,0.50,17.88,32,2.74,Purchases,6.78
Retargeting Website,23858001111112,Bezoekers 7 dagen,23858002222231,Dynamische Productad,23858003333351,2024-05-02,3300,5200,1.58,92.10,211,188,4.06,3.62,0.44,0.49,17.71,35,2.63,Purchases,7.12
Retargeting Website,23858001111112,Bezoekers 7 dagen,23858002222231,Collectie Herinnering,23858003333352,2024-05-01,2800,4100,1.46,71.30,134,112,3.27,2.73,0.53,0.64,17.39,22,3.24,Purchases,5.41
